time,course,instructor,semester,observation,year,Student.AnsweringQuestion,Student.AskingQuestion,Instructor.AskingClickerQuestion,Instructor.GivingFeedback,Instructor.Lecturing,Instructor.WritingOnBoard,Instructor.MovingThroughGroup,Students.GroupWork,EffectSize.StudentPerformance
2,11,A,1,1,1,0,0,1,1,0,0,0,1,2.91
4,11,A,1,1,1,0,0,0,0,0,0,0,1,2.91
6,11,A,1,1,1,0,0,1,1,1,0,0,1,2.91
8,11,A,1,1,1,0,0,1,1,0,0,0,1,2.91
10,11,A,1,1,1,0,1,0,1,0,0,0,0,2.91
12,11,A,1,1,1,0,0,0,1,0,0,0,1,2.91
14,11,A,1,1,1,0,0,0,0,0,0,1,1,2.91
16,11,A,1,1,1,0,0,1,0,0,0,1,1,2.91
18,11,A,1,1,1,0,0,1,0,0,0,0,1,2.91
20,11,A,1,1,1,0,0,1,1,0,0,0,1,2.91
22,11,A,1,1,1,0,1,0,1,0,0,0,0,2.91
24,11,A,1,1,1,0,1,0,1,1,0,0,0,2.91
26,11,A,1,1,1,0,0,0,0,1,0,0,0,2.91
28,11,A,1,1,1,0,0,0,0,1,0,1,1,2.91
30,11,A,1,1,1,0,0,0,1,0,0,1,1,2.91
32,11,A,1,1,1,1,0,0,1,1,0,0,0,2.91
34,11,A,1,1,1,1,0,0,1,0,0,0,1,2.91
36,11,A,1,1,1,0,0,0,1,0,0,0,1,2.91
38,11,A,1,1,1,1,0,0,1,0,0,0,0,2.91
40,11,A,1,1,1,0,0,0,1,1,0,0,0,2.91
42,11,A,1,1,1,0,0,0,0,1,0,1,1,2.91
44,11,A,1,1,1,0,0,0,0,0,0,1,1,2.91
2,11,A,1,2,1,1,0,0,0,1,0,0,1,2.91
4,11,A,1,2,1,0,1,0,1,1,0,0,0,2.91
6,11,A,1,2,1,0,0,1,0,0,0,0,1,2.91
8,11,A,1,2,1,0,0,1,0,1,0,0,0,2.91
10,11,A,1,2,1,0,0,1,1,1,0,0,1,2.91
12,11,A,1,2,1,0,0,1,1,0,0,0,1,2.91
14,11,A,1,2,1,0,0,1,1,1,0,0,1,2.91
16,11,A,1,2,1,0,0,0,0,1,0,0,0,2.91
18,11,A,1,2,1,1,0,0,0,1,0,0,0,2.91
20,11,A,1,2,1,0,1,1,0,1,0,0,1,2.91
22,11,A,1,2,1,0,1,0,0,1,0,0,0,2.91
24,11,A,1,2,1,0,0,1,0,1,0,0,1,2.91
26,11,A,1,2,1,0,0,1,0,1,0,0,1,2.91
28,11,A,1,2,1,0,0,1,0,1,0,0,1,2.91
30,11,A,1,2,1,1,0,0,0,1,0,0,0,2.91
32,11,A,1,2,1,0,0,0,0,1,0,0,1,2.91
34,11,A,1,2,1,0,0,0,0,0,0,1,1,2.91
36,11,A,1,2,1,1,0,0,1,0,0,1,1,2.91
38,11,A,1,2,1,0,1,0,1,0,0,1,1,2.91
40,11,A,1,2,1,1,1,1,1,0,0,0,1,2.91
42,11,A,1,2,1,0,0,0,1,0,0,0,0,2.91
44,11,A,1,2,1,0,0,0,1,1,0,0,0,2.91
46,11,A,1,2,1,0,0,0,0,1,0,0,0,2.91
2,11,A,1,3,1,0,0,0,0,0,0,0,0,2.91
4,11,A,1,3,1,0,0,0,0,1,0,0,0,2.91
6,11,A,1,3,1,0,0,0,0,1,0,0,0,2.91
8,11,A,1,3,1,0,0,0,0,1,0,0,0,2.91
10,11,A,1,3,1,1,0,0,0,1,1,0,1,2.91
12,11,A,1,3,1,1,0,0,1,1,1,0,1,2.91
14,11,A,1,3,1,0,0,0,0,1,1,0,0,2.91
16,11,A,1,3,1,0,0,0,0,1,0,0,1,2.91
18,11,A,1,3,1,0,0,0,1,0,0,1,1,2.91
20,11,A,1,3,1,1,0,0,1,0,0,0,0,2.91
22,11,A,1,3,1,1,0,0,1,1,0,0,0,2.91
24,11,A,1,3,1,0,0,1,0,1,0,0,0,2.91
26,11,A,1,3,1,1,0,1,1,0,0,0,1,2.91
28,11,A,1,3,1,0,1,0,1,1,0,0,0,2.91
30,11,A,1,3,1,0,1,0,0,1,0,0,0,2.91
32,11,A,1,3,1,0,0,0,0,1,0,1,1,2.91
34,11,A,1,3,1,0,0,0,0,0,0,1,1,2.91
36,11,A,1,3,1,1,0,0,1,1,0,1,1,2.91
38,11,A,1,3,1,1,0,0,1,1,0,0,0,2.91
40,11,A,1,3,1,0,0,0,0,0,0,1,1,2.91
42,11,A,1,3,1,0,0,1,0,1,0,1,1,2.91
44,11,A,1,3,1,0,0,1,1,0,0,0,1,2.91
46,11,A,1,3,1,1,0,0,1,1,0,0,0,2.91
48,11,A,1,3,1,1,0,0,1,1,0,0,0,2.91
50,11,A,1,3,1,0,1,0,0,1,0,0,0,2.91
2,11,A,1,4,1,0,0,0,0,0,0,0,0,2.91
4,11,A,1,4,1,0,0,0,0,0,0,0,0,2.91
6,11,A,1,4,1,0,0,0,0,0,0,0,0,2.91
8,11,A,1,4,1,0,1,0,0,1,0,0,0,2.91
10,11,A,1,4,1,0,1,0,0,1,0,0,0,2.91
12,11,A,1,4,1,0,0,1,1,1,0,0,1,2.91
14,11,A,1,4,1,0,0,1,1,0,0,0,1,2.91
16,11,A,1,4,1,0,1,1,1,0,0,0,0,2.91
18,11,A,1,4,1,0,1,1,1,0,0,0,1,2.91
20,11,A,1,4,1,0,1,1,1,0,0,0,1,2.91
22,11,A,1,4,1,0,1,1,1,0,0,0,0,2.91
24,11,A,1,4,1,1,1,1,1,0,0,0,1,2.91
26,11,A,1,4,1,0,0,1,0,0,0,0,1,2.91
28,11,A,1,4,1,1,0,1,1,1,0,0,0,2.91
30,11,A,1,4,1,0,0,0,0,1,0,0,0,2.91
32,11,A,1,4,1,0,1,0,0,1,0,0,0,2.91
34,11,A,1,4,1,0,0,0,0,1,0,0,0,2.91
36,11,A,1,4,1,1,0,1,1,0,0,0,1,2.91
38,11,A,1,4,1,0,0,0,1,1,0,0,1,2.91
40,11,A,1,4,1,1,0,0,1,1,0,0,0,2.91
42,11,A,1,4,1,0,0,0,0,1,0,0,1,2.91
44,11,A,1,4,1,0,0,0,0,0,0,0,1,2.91
46,11,A,1,4,1,0,0,0,0,0,0,0,1,2.91
48,11,A,1,4,1,0,0,0,1,0,1,0,1,2.91
2,11,B,1,1,1,0,0,1,0,1,0,0,1,1.51
4,11,B,1,1,1,0,0,1,1,1,0,0,1,1.51
6,11,B,1,1,1,0,0,1,0,1,0,0,1,1.51
8,11,B,1,1,1,0,0,1,0,0,0,0,1,1.51
10,11,B,1,1,1,0,0,1,0,1,0,0,1,1.51
12,11,B,1,1,1,0,0,1,0,0,0,0,1,1.51
14,11,B,1,1,1,0,0,1,0,1,0,0,1,1.51
16,11,B,1,1,1,0,0,1,0,1,0,0,1,1.51
18,11,B,1,1,1,0,0,1,0,1,0,0,1,1.51
20,11,B,1,1,1,0,0,0,0,1,0,0,0,1.51
22,11,B,1,1,1,0,0,1,0,1,0,0,1,1.51
24,11,B,1,1,1,0,0,1,0,1,0,0,1,1.51
26,11,B,1,1,1,0,0,0,0,1,0,0,0,1.51
28,11,B,1,1,1,0,0,0,0,1,0,0,0,1.51
30,11,B,1,1,1,0,0,1,0,1,0,0,1,1.51
32,11,B,1,1,1,0,0,0,0,1,0,0,0,1.51
34,11,B,1,1,1,0,0,0,0,1,0,0,0,1.51
36,11,B,1,1,1,0,0,0,0,1,0,0,0,1.51
38,11,B,1,1,1,0,1,0,0,1,0,0,0,1.51
40,11,B,1,1,1,0,0,0,0,1,0,0,0,1.51
2,11,B,1,2,1,0,1,1,0,0,0,0,1,1.51
4,11,B,1,2,1,0,0,1,1,1,0,0,1,1.51
6,11,B,1,2,1,0,0,0,0,1,0,0,0,1.51
8,11,B,1,2,1,0,0,0,0,1,0,0,0,1.51
10,11,B,1,2,1,0,0,1,0,1,0,0,1,1.51
12,11,B,1,2,1,0,0,1,1,1,0,0,1,1.51
14,11,B,1,2,1,1,0,0,0,1,0,0,0,1.51
16,11,B,1,2,1,1,0,0,0,1,0,0,0,1.51
18,11,B,1,2,1,0,0,0,0,1,0,0,0,1.51
20,11,B,1,2,1,0,0,0,0,1,0,0,0,1.51
22,11,B,1,2,1,0,0,0,0,1,0,0,0,1.51
24,11,B,1,2,1,0,0,0,0,1,0,0,0,1.51
26,11,B,1,2,1,0,0,1,0,1,0,0,1,1.51
28,11,B,1,2,1,0,0,1,0,0,0,0,1,1.51
30,11,B,1,2,1,0,0,1,0,0,0,0,1,1.51
32,11,B,1,2,1,0,0,1,0,0,0,0,1,1.51
34,11,B,1,2,1,0,1,0,1,0,0,0,0,1.51
36,11,B,1,2,1,0,0,0,0,1,0,0,0,1.51
38,11,B,1,2,1,0,1,0,0,1,0,0,0,1.51
40,11,B,1,2,1,0,0,0,0,1,0,0,0,1.51
2,11,B,1,3,1,0,0,0,0,1,0,0,0,1.51
4,11,B,1,3,1,0,0,0,0,1,0,0,0,1.51
6,11,B,1,3,1,0,0,0,0,1,0,0,0,1.51
8,11,B,1,3,1,0,0,0,0,1,0,0,0,1.51
10,11,B,1,3,1,0,0,0,0,0,0,1,1,1.51
12,11,B,1,3,1,0,0,0,0,0,0,1,1,1.51
14,11,B,1,3,1,0,0,0,0,0,0,1,1,1.51
16,11,B,1,3,1,0,0,0,0,0,0,1,1,1.51
18,11,B,1,3,1,0,0,0,0,1,0,0,1,1.51
20,11,B,1,3,1,0,0,0,0,0,0,1,1,1.51
22,11,B,1,3,1,0,0,0,0,0,0,1,1,1.51
24,11,B,1,3,1,0,0,0,0,0,0,1,1,1.51
26,11,B,1,3,1,0,0,0,0,0,0,1,1,1.51
28,11,B,1,3,1,0,0,0,0,1,0,0,0,1.51
30,11,B,1,3,1,0,0,1,0,1,0,0,0,1.51
32,11,B,1,3,1,0,0,0,1,0,0,0,0,1.51
34,11,B,1,3,1,0,0,0,0,1,0,0,0,1.51
36,11,B,1,3,1,0,0,0,0,1,0,0,0,1.51
38,11,B,1,3,1,0,0,1,0,1,0,0,0,1.51
40,11,B,1,3,1,0,0,1,0,0,0,0,0,1.51
42,11,B,1,3,1,0,0,0,0,1,0,0,0,1.51
44,11,B,1,3,1,0,0,0,0,1,0,0,0,1.51
46,11,B,1,3,1,0,0,0,0,1,0,0,0,1.51
2,11,B,1,4,1,0,0,0,0,1,0,0,0,1.51
4,11,B,1,4,1,0,0,0,0,1,0,0,0,1.51
6,11,B,1,4,1,0,0,0,0,1,0,0,0,1.51
8,11,B,1,4,1,0,0,1,0,1,0,0,1,1.51
10,11,B,1,4,1,0,0,1,0,1,0,0,1,1.51
12,11,B,1,4,1,0,0,0,0,1,0,0,0,1.51
14,11,B,1,4,1,0,0,1,0,1,0,0,0,1.51
16,11,B,1,4,1,0,0,0,0,1,0,0,0,1.51
18,11,B,1,4,1,0,0,1,0,1,0,0,0,1.51
20,11,B,1,4,1,0,0,0,0,1,0,0,0,1.51
22,11,B,1,4,1,0,0,1,0,1,0,0,0,1.51
24,11,B,1,4,1,0,0,1,1,1,0,0,1,1.51
26,11,B,1,4,1,0,1,0,0,1,0,0,0,1.51
28,11,B,1,4,1,0,0,0,0,1,0,0,0,1.51
30,11,B,1,4,1,0,0,0,0,1,0,0,0,1.51
32,11,B,1,4,1,0,0,0,0,1,0,0,0,1.51
34,11,B,1,4,1,0,0,0,0,1,0,0,0,1.51
36,11,B,1,4,1,0,0,0,0,1,0,0,0,1.51
38,11,B,1,4,1,0,0,0,0,1,0,0,0,1.51
40,11,B,1,4,1,0,0,0,0,1,0,0,0,1.51
